CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
15065180,AEROPUERTO ALM. PADILLA - [15065180],11.52844440,-72.9177222220,15,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,La Guajira,Riohacha,21/06/2004 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 16:00,4.7,50,,900
15065180,AEROPUERTO ALM. PADILLA - [15065180],11.52844440,-72.9177222220,15,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,La Guajira,Riohacha,21/06/2004 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 17:00,2.9,50,,900
15065180,AEROPUERTO ALM. PADILLA - [15065180],11.52844440,-72.9177222220,15,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,La Guajira,Riohacha,21/06/2004 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 18:00,2.6,50,,900
15065180,AEROPUERTO ALM. PADILLA - [15065180],11.52844440,-72.9177222220,15,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,La Guajira,Riohacha,21/06/2004 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 22:00,1.4,50,,900
15065180,AEROPUERTO ALM. PADILLA - [15065180],11.52844440,-72.9177222220,15,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,La Guajira,Riohacha,21/06/2004 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 23:00,1.4,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 05:00,1.5,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 06:00,3.1,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 07:00,3.1,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 08:00,3.6,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 09:00,1,50,,900
